Ticker,Quarter & Year,Trading Volume 7 Day Average Prior to Call Date,Gross Margin ,Revenue (E8),Release Date,Stock Price on Release Date ,Call Date,Stock Price on Call Date,Stock Price Delta Between Dates,EPS Basic & Diluted,Revenue Delta,Gross Margin Delta,Trading Volume Delta,Beta Value at Call Date,"Rating Score (avg. - ROE, DCF, ROA)",Market Cap,Common Shares Outstanding at Call Date,VX,Polarity Mean,Postive/Negative + Neutral,Strong Polarity Count (>=0.8),Subjectivity ,Weak Polarity Count (>=-0.2)
TSLA,2017 Q2 ,"43,030,254",0.2391,27.89557,6/30/2017,72.32,8/3/2017,69.41,-0.0402,-2.03,0.03,0.0100,0.2600,1.055,3,8.14E+11,11728825962,sentiment,0.0995,0.6970,2,0.5020,11
CAKE,2017 Q2 ,"1,927,249",0.1929,5.69869,6/30/2017,50.3,8/3/2017,44.19,-0.1215,0.78,0.01,-0.0100,0.3600,0.3435,3,2165310000,49000000,sentiment,0.08373,0.6350,0,0.3810,4
XOM,2017 Q2 ,"10,618,000",0.2324,628.76,6/30/2017,80.72,7/28/2017,79.6,-0.0139,0.78,-0.01,0.0400,0.0300,0.8136,3,3.45E+11,4331631030,sentiment,0.0673,0.5290,1,0.4110,10
WWW,2017 Q2 ,"1,672,175",0.3827,-15.015,6/30/2017,27.77,8/9/2017,27.06,-0.0256,-0.83,-3.54,-0.0100,-0.5300,0.9391,3.33,2694562000,99577309.68,sentiment,0.108334,0.8710,1,0.3800,4
TSLA,2017 Q3,"41,766,799",0.2063,29.84675,9/30/2017,68.2,11/2/2017,59.85,-0.1224,-2.03,0.07,-0.1400,-0.0300,0.9485,3,8.71E+11,14561106767,sentiment,0.1043,0.6180,0,0.4930,6
CAKE,2017 Q3,"2,137,991",0.1873,6.03,9/30/2017,42.13,11/2/2017,42.18,0.0012,1.34,0.06,-0.0300,0.1100,0.3291,3,2121287000,50291299.19,sentiment,0.1222,0.6520,1,0.4060,3
XOM,2017 Q3,"9,535,000",0.2433,661.65,9/30/2017,81.98,10/27/2017,83.71,0.0211,0.93,0.05,0.0500,-0.1000,0.8367,3,3.50E+11,4182733007,sentiment,0.1041,0.7460,0,0.4280,9
WWW,2017 Q3,"2,303,278",0.3894,5.813,9/30/2017,28.86,11/8/2017,28.02,-0.0291,0.24,1.39,0.0200,0.3800,0.9561,3.67,2763830000,98637758.74,sentiment,0.1508,1.0840,4,0.4350,7
TSLA,2017 Q4,"29,021,621",0.1890,32.88249,12/31/2017,62.27,2/8/2018,63.04,0.0124,-2.03,0.10,-0.0800,-0.3100,1.013,4,8.00E+11,12694538388,sentiment,0.109,0.7350,2,0.4620,7
CAKE,2017 Q4,"1,522,179",0.1819,5.71,12/31/2017,48.18,2/22/2018,47.93,-0.0052,3.27,-0.05,-0.0300,-0.2900,0.3744,3,2166434000,45199958.27,sentiment,0.12176,0.7970,1,0.3820,1
XOM,2017 Q4,"13,404,000",0.2183,840,12/31/2017,83.83,2/3/2018,84.53,0.0084,0.09,0.27,-0.1000,0.4100,0.8278,3,3.57E+11,4223063055,sentiment,0.1103,0.6820,0,0.4160,13
WWW,2017 Q4,"1,760,934",0.3894,-1.446,12/31/2017,31.89,2/21/2018,29.51,-0.0746,-0.09,-1.25,0.0000,-0.2400,1.002,3.67,2920208000,98956557.1,sentiment,0.10129,0.8980,2,0.4090,9
